RSM Zip,"City, ST, Zip",Lat,Long, Factor 
49001,"Kalamazoo, MI 49001", 42.26470 , (85.56265), 0.879 
51501,"Council Bluffs, IA 51501", 41.22828 , (95.87889), 0.879 
83301,"Twin Falls, ID 83301", 42.39472 , (114.52203), 0.879 
84601,"Provo, UT 84601", 40.22593 , (111.69550), 0.878 
03904,"Kittery, ME 03904", 43.11025 , (70.73201), 0.878 
31201,"Macon, GA 31201", 32.81433 , (83.61846), 0.878 
89801,"Elko, NV 89801", 41.18096 , (115.76076), 0.877 
41501,"Pikeville, KY 41501", 37.50805 , (82.51540), 0.876 
80701,"Fort Morgan, CO 80701", 40.13494 , (103.81102), 0.875 
50801,"Creston, IA 50801", 41.07959 , (94.39224), 0.875 
30601,"Athens, GA 30601", 34.00032 , (83.34851), 0.874 
40502,"Lexington, KY 40502", 38.01376 , (84.48189), 0.874 
70112,"New Orleans, LA 70112", 29.95608 , (90.07733), 0.874 
30458,"Statesboro, GA 30458", 32.39732 , (81.82694), 0.874 
87501,"Santa Fe, NM 87501", 35.71273 , (105.86523), 0.874 
81401,"Montrose, CO 81401", 38.51559 , (107.78472), 0.873 
29401,"Charleston, SC 29401", 32.77868 , (79.93540), 0.873 
85003,"Phoenix, AZ 85003", 33.45059 , (112.07833), 0.873 
80301,"Boulder, CO 80301", 40.04795 , (105.19876), 0.872 
33602,"Tampa, FL 33602", 27.95371 , (82.45675), 0.872 
49801,"Iron Mountain, MI 49801", 45.91910 , (88.01795), 0.872 
31501,"Waycross, GA 31501", 31.22693 , (82.34852), 0.871 
81101,"Alamosa, CO 81101", 37.47197 , (105.85243), 0.871 
84321,"Logan, UT 84321", 41.77938 , (111.68316), 0.871 
31601,"Valdosta, GA 31601", 30.74772 , (83.33968), 0.871 
85701,"Tucson, AZ 85701", 32.21702 , (110.97138), 0.871 
51101,"Sioux City, IA 51101", 42.49413 , (96.39361), 0.870 
49440,"Muskegon, MI 49440", 43.23852 , (86.25387), 0.870 
46802,"Fort Wayne, IN 46802", 41.06787 , (85.16299), 0.870 
50701,"Waterloo, IA 50701", 42.41710 , (92.34448), 0.869 
